 W A T E R B O D Y N A M E, C O U N T Y O R C O U N T I E S, L I S T E D F O R A Q U A T I C I N V A S I V E S P E C I E S, Y E A R L I S T E D A S I N F E S T E D, Y E A R S P E C I E S W A S F I R S T C O N F I R M E D O R C O N N E C T E D, D O W N U M B E R
Unnamed pond located in the NW 1/4 of NE ¼ of S22 T142N R39W ,Becker,faucet snail,2012,2012,
Unnamed pond located in the SE ¼ of the SW ¼ of S15 T142N R39W,Becker,faucet snail,2012,2012,
Unnamed pond located in the SW ¼ of SW ¼ of S14 T142N R39W,Becker,faucet snail,2012,2012,
Unnamed river from the outlet of Irene (21-0076) to Miltona (21-0083),Douglas,zebra mussel,2013,connected to Irene (21-0076),
Unnamed river from the outlet of Lake Miltona (21-0083) to Ida (21-0123),Douglas,zebra mussel,2013,connected to Miltona (21-0083),
Unnamed stream connecting Big Rice Little Rice  Kitchi Pug Hole and Cass Lakes,Beltrami,zebra mussel,2014,connected to Cass (04-0030),
Unnamed stream connecting Kitchi Pug Hole and Cass Lakes,Cass,zebra mussel,2014,connected to Cass (04-0030),
Unnamed wetland,Hennepin,Eurasian watermilfoil,2000,2000,27090000
Unnamed wetland,Scott,Eurasian watermilfoil,2009,2008,70015300
Unnamed wetland (Heine Pond),Dakota,Eurasian watermilfoil,2010,2010,19015300
Unnamed wetland (located  in the NE 1/4 of the NE 1/4 of S33 T135N R27W),Crow Wing,zebra mussel,2006,connected water,
Unnamed wetland (located  in the NE 1/4 of the SW 1/4 of S3 T135N R27W),Crow Wing,zebra mussel,2006,connected water,
Unnamed wetland (located in the NE 1/4 of the NE 1/4 of S33 T31N R22W),Anoka,flowering rush,2007,,
Unnamed wetland (located in the NE 1/4 of the SE 1/4 of S2 T46N R30W),Crow Wing,zebra mussel,2006,connected water,
Unnamed wetland (located in the NW 1/4 of the NE 1/4 of S33 T46N R30W),Crow Wing,zebra mussel,2006,connected water,
Unnamed wetland (Purgatory wetland),Hennepin,brittleleaf naiad,2014,2013,27099700
Unnamed wetland along Clearwater River,Stearns,Eurasian watermilfoil,1999,1998,73031200
Unnamed wetland connected to Paul Lake (56-0335),Otter Tail,zebra mussel,2013,2012,56164000
Unnamed wetland in the E 1/2 of S13 T117N R22W,Hennepin,zebra mussel,2010,connected to Minnehaha Creek,27071600
Unnamed wetland in the NE 1/4 of S20 T117N R21W,Hennepin,zebra mussel,2010,connected to Minnehaha Creek,27066200
Unnamed wetland in the NW 1/4 of S19 T117N R21W,Hennepin,zebra mussel,2010,connected to Minnehaha Creek,27077900
Unnamed wetland in the SE 1/4 of S11 and NE 1/4 of S14 T117N R22W,Hennepin,zebra mussel,2010,connected to Minnehaha Creek,27072000
Unnamed wetland in the SW 1/4 of S20 T117N R21W,Hennepin,zebra mussel,2010,connected to Minnehaha Creek,27066300
Unnamed wetland located  in the NE 1/4 of the SW 1/4  of S2 T46N R30W),Crow Wing,zebra mussel,2006,connected water,
Unnamed wetland located in S 16 T124N R39W,Pope,zebra mussel,2012,connected to Minnewaska (61-0130),61042200
Unnamed wetland located in S 20 and 21 T124N R39W,Pope,zebra mussel,2012,connected to Minnewaska (61-0130),61042000
Unnamed wetland located in S 20 T124N R39W,Pope,zebra mussel,2012,connected to Minnewaska (61-0130),61050500
Unnamed wetland located in S 9 and 16 T124N R39W,Pope,zebra mussel,2012,connected to Minnewaska (61-0130),61023100
Unnamed wetland located in S2 T143N R43W,Norman,faucet snail,2013,2012,54000100
Unnamed wetland NW 1/4 of S18 T117N R21W,Hennepin,zebra mussel,2010,connected to Minnehaha Creek,27071500
Upper Bottle,Hubbard,faucet snail,2019,2019,29014800
Upper Cormorant,Becker,zebra mussel,2019,2019,3058800
Upper Gull,Cass,zebra mussel,2010,connected to Gull (11-0305),11021800
Upper Hay,Crow Wing,zebra mussel,2014,2013,18041200
Upper Maple,Wright,zebra mussel,2019,2019,86013401
Upper Mission,Crow Wing,Eurasian watermilfoil,2008,2008,18024200
Upper Pine,Pine,Eurasian watermilfoil,2022,2022,58013000
Upper Prior,Scott,Eurasian watermilfoil,2000,2000,70007200
Upper Prior,Scott,zebra mussel,2009,2009,70007200
Upper Sakatah,LeSueur,Eurasian watermilfoil,2020,2020,40000200
Upper Sakatah,Le Sueur,flowering rush,2009,2008,40000200
Upper South Long,Crow Wing,Eurasian watermilfoil,2019,2019,18009600
Upper South Long,Crow Wing,zebra mussel,2021,2021,18009600
Upper Twin,Hubbard,faucet snail,2009,2009,29015700
Vadnais ,Ramsey,Eurasian watermilfoil,1995,1989,62003801
Vadnais,Ramsey,Eurasian watermilfoil,1995,1989,62003802
Vadnais,Ramsey,zebra mussel,2007,2007,62003802
Vadnais,Ramsey,zebra mussel,2007,2007,62003801
Venstrom,Otter Tail,zebra mussel,2014,connected to Lida (56-0747),56071900
Vermilion,St. Louis,spiny waterflea,2015,2015,69037800
Victoria,Douglas,Eurasian watermilfoil,2017,2017,21005400
Victoria,Douglas,zebra mussel,2009,2010,21005400
Villard,Pope,zebra mussel,2020,2020,61006700
Virginia,Carver,Eurasian watermilfoil,1995,1988,10001500
Virginia,Carver,zebra mussel,2014,2014,10001500
Wabasso,Ramsey,Eurasian watermilfoil,1995,1992,62008200
Wabonica Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,connected water,
Waconia,Carver,Eurasian watermilfoil,1995,1989,10005900
Waconia,Carver,zebra mussel,2014,2014,10005900
Walker,Otter Tail,zebra mussel,2018,2018,56031000
Warroad River from 500 feet upstream of Highway 11 downstream to Lake of the Woods,Roseau,spiny waterflea,2007,connected water,
Washburn,Cass,Eurasian watermilfoil,2009,2009,11005900
Washington,Meeker,Eurasian watermilfoil,1999,1999,47004600
Washington,Meeker,zebra mussel,2015,connected to Stella (47-0068),47004600
Wasserman,Carver,Eurasian watermilfoil,2001,2001,10004800
Watab Lake,Stearns,zebra mussel,2014,2013,73007000
Watab River from Watab Lake to the Mississippi River,Stearns,zebra mussel,2014,connected water,
Waverly,Wright,Eurasian watermilfoil,1995,1991,86011400
Waverly,Wright,zebra mussel,2021,2021,86011400
Weaver,Hennepin,Eurasian watermilfoil,2013,2012,27011700
Webster Slough,Murray,zebra mussel,2022,connected to Shetek (51-0046),51003500
Weigand,Wright,Eurasian watermilfoil,1999,1998,86024200
Weigand,Multiple (Stearns and Wright),zebra mussel,2015,connected to Clearwater (86-0252),86024200
Wells,Rice,flowering rush,2007,1998,66001000
West Battle,Otter Tail,zebra mussel,2016,2016,56023900
West Fork Little Sioux River and its tributaries,Jackson,bighead carp,2012,connected water,
West Fork Little Sioux River and its tributaries,Jackson,silver carp,2012,connected water,
West Jefferson (DOW 40-0092-02),Le Sueur,Eurasian watermilfoil,2015,,
West Lake Sylvia,Wright,starry stonewort,2016,2016,86027900
West Lake Sylvia,Wright,zebra mussel,2017,connected to East Lake Sylvia (86-0289),86027900
West Lost,Otter Tail,zebra mussel,2017,connected to Otter Tail and East Lost,56048100
West McDonald,Otter Tail,zebra mussel,2019,2019,56038602
West Silent,Otter Tail,zebra mussel,2021,2021,56051900
West Sylvia,Wright,Eurasian watermilfoil,2008,2008,86027900
West Twin,St. Louis,spiny waterflea,2010,connected water,69016700
Whaletail,Hennepin,Eurasian watermilfoil,1997,1996,27018400
Whiskey,Douglas,zebra mussel,2017,2017,21021600
White Bear,Washington,Eurasian watermilfoil,1995,1988,82016700
White Bear,Washington,zebra mussel,2014,2014,82016700
White Pine River,St. Louis,zebra mussel,2009,connected water,
White Sand,Crow Wing,Eurasian watermilfoil,2015,2015,18037900
Whitefish ,Crow Wing,zebra mussel,2014,2014,18031000
Willmar,Kandiyohi,zebra mussel,2022,2022,34018000
Wilmes,Washington,Eurasian watermilfoil,2007,2007,82009000
Winnibigoshish,Cass,faucet snail,2009,2008,
Winnibigoshish,Cass,faucet snail,2009,2008,
Winnibigoshish,Itasca,faucet snail,2009,2008,11014700
Winnibigoshish,Itasca and Cass,starry stonewort,2016,2016,4003800
Winnibigoshish,Cass,zebra mussel,2013,2012,11014700
Winnibigoshish,Cass,zebra mussel,2013,2012,
Winnibigoshish,Itasca,zebra mussel,2013,2012,11014700
Winona,Winona,Eurasian watermilfoil,2007,2006,85001100
Winter Road River from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,connected to Rainy River,
Wirth,Hennepin,Eurasian watermilfoil,1997,1996,27003700
Wolf,Meeker,Eurasian watermilfoil,2006,2005,47001600
Wolf,Beltrami,starry stonewort,2018,2018,4007900
Wolf,Beltrami,zebra mussel,2014,connected to Cass (04-0030),4007900
Wolfe,Hennepin,Eurasian watermilfoil,2004,2003,27066400
Woman,Cass,zebra mussel,2021,2021,11020100
Wright,Otter Tail,zebra mussel,2017,2017,56078300
Zumbra,Carver,Eurasian watermilfoil,1995,1989,10004100
Zumbro,Olmsted,zebra mussel,2000,2000,55000400
Zumbro River downstream of Zumbro including 500 feet upstream into its tributaries,Wabasha,zebra mussel,2000,2000,
Zumwalde,Stearns,zebra mussel,2018,connected by the Sauk River between Sauk (77-0150) and Becker (73-0156),73008900
