 W A T E R B O D Y N A M E, C O U N T Y O R C O U N T I E S, L I S T E D F O R A Q U A T I C I N V A S I V E S P E C I E S, Y E A R L I S T E D A S I N F E S T E D, Y E A R S P E C I E S W A S F I R S T C O N F I R M E D O R C O N N E C T E D, D O W N U M B E R
Elk,Grant,zebra mussel,2017,2017,26004000
Elkhorn,Kandiyohi,Eurasian watermilfoil,2017,2017,34011900
Elkhorn,Kandiyohi,zebra mussel,2018,2018,34011900
Ellen,Chisago,Eurasian watermilfoil,1999,1990,13004700
Ellingson,Grant,zebra mussel,2022,connected to Red Rock (21-0291),26002400
Elmo,Washington,Eurasian watermilfoil,2006,2005,82010600
Ely,St. Louis,zebra mussel,2021,2021,69066000
Emily,Crow Wing,Eurasian watermilfoil,2014,2014,18020300
Emily,Pope,Eurasian watermilfoil,2014,2014,61018000
Emily,Pope,zebra mussel,2012,2016,61018000
Emma,Wright,Eurasian watermilfoil,2007,2006,86018800
Erie,Meeker,Eurasian watermilfoil,2014,2014,47006400
Eunice,Becker,zebra mussel,2015,2015,3050300
Faille,Todd,zebra mussel,2016,connected to Osakis (77-0215),77019500
Fall,Lake,spiny waterflea,2014,2014,38081100
Fannie,Isanti,Eurasian watermilfoil,2019,2019,30004300
Farm Island,Aitkin,zebra mussel,2020,2020,1015900
Firemen?s,Carver,Eurasian watermilfoil,1997,1997,10022600
First Crow Wing,Hubbard,faucet snail,2011,2011,29008600
First River Lake,Itasca,faucet snail,2009,connected to Winnibigoshish (11-0147),31081800
First River Lake,Itasca,zebra mussel,2013,connected to Winnibigoshish (11-0147),31081800
Fish,Chisago,Eurasian watermilfoil,2007,2006,13006800
Fish,Dakota,Eurasian watermilfoil,2009,2009,19005700
Fish,Hennepin,Eurasian watermilfoil,1995,1993,27011800
Fish,Wright,Eurasian watermilfoil,2004,2002,86018300
Fish,St. Louis,spiny waterflea,1995,1990,69049100
Fish,Hennepin,zebra mussel,2022,2022,27011800
Fish,Otter Tail,zebra mussel,2009,2009,56076800
Fish,Wright,zebra mussel,2006,connected to Mississippi River,86018300
Fish Trap,Morrison,zebra mussel,2015,2015,49013700
Fish Trap Creek from Fish Trap Lake to the Long Prairie River,Multiple (Morrison and Todd),zebra mussel,2015,connected to Fish Trap (49-0137),
Florida,Kandiyohi,Eurasian watermilfoil,2009,2009,34021700
Florida,Kandiyohi,zebra mussel,2016,2016,34021700
Flour,Cook,spiny waterflea,2005,2004,16014700
Floyd,Becker,zebra mussel,2018,2018,3038700
Forest,Hennepin,Eurasian watermilfoil,1995,1990,27013900
Forest,Washington,Eurasian watermilfoil,2015,2015,82015900
Forest,Washington,flowering rush,2007,1998,82015900
Forest,Hennepin,zebra mussel,2012,connected to Minnetonka (27-0133),27013900
Forest,Washington,zebra mussel,2015,2015,82015900
Fourth Crow Wing,Hubbard,faucet snail,2019,2019,29007800
Fox,Rice,Eurasian watermilfoil,2009,2009,66002900
Frances,Le Sueur,Eurasian watermilfoil,2017,2017,40005700
Francis,Meeker,zebra mussel,2021,2021,47000200
Franklin,Otter Tail,zebra mussel,2016,2016,56075900
Fredrickson Slough,Sherburne,Eurasian watermilfoil,2018,2018,71011000
Fremont,Murray,zebra mussel,2022,connected to Shetek (51-0046),51003900
French,Aitkin,Eurasian watermilfoil,2019,2019,1010400
French,Rice,Eurasian watermilfoil,2009,2009,66003800
French,Wright,Eurasian watermilfoil,2002,2001,86027300
Galpin,Hennepin,Eurasian watermilfoil,2001,2001,27014400
Games,Kandiyohi,Eurasian watermilfoil,2014,2014,34022400
Games,Kandiyohi,zebra mussel,2018,connected to Norway (34-0251),34022400
Garfield,Hubbard,zebra mussel,2017,2017,29006100
Geneva,Douglas,Eurasian watermilfoil,2022,2022,21005200
Geneva,Douglas,zebra mussel,2009,2009,21005200
George,Anoka,Eurasian watermilfoil,1998,1998,2009100
George,Olmsted,Eurasian watermilfoil,1995,1988,55000800
George,Hubbard,faucet snail,2018,2017,29021600
George,Mahnomen,faucet snail,2022,2022,44008500
George,Kandiyohi,zebra mussel,2017,2017,34014200
George Watch,Anoka,Eurasian watermilfoil,2016,2016,2000500
German,Le Sueur,Eurasian watermilfoil,2004,2002,40006300
Gervais,Ramsey,Eurasian watermilfoil,1995,1995,62000700
Gervais Mill Pond,Ramsey,Eurasian watermilfoil,2014,2013,62027200
Gilbert,Crow Wing,zebra mussel,2014,2014,18032000
Gilbert Pit,St. Louis,Eurasian watermilfoil,1999,1999,69130600
Gilbert Pit (Ore-be-gone),St. Louis,zebra mussel,2013,2012,69130600
Gilchrist,Pope,Eurasian watermilfoil,1997,1996,61007200
Gilchrist,Pope,zebra mussel,2019,2019,61007200
Girl,Cass,Eurasian watermilfoil,2017,2017,11017400
Girl,Cass,zebra mussel,2021,Connected to Woman (11-0201),11017400
Goodview,Winona,Eurasian watermilfoil,2012,2012,85001200
Goodview,Winona,zebra mussel,2018,2017,85001200
Goose,Chisago,Eurasian watermilfoil,2016,2016,13008300
Goose,Washington,Eurasian watermilfoil,2018,2018,82005900
Goose,Wright,Eurasian watermilfoil,2000,2000,86010800
Goose,Wright,zebra mussel,2023,connected to Buffalo (86-0090),86010800
Grand,Stearns,starry stonewort,2017,2017,73005500
Grand,Stearns,zebra mussel,2022,2022,73005500
Granite,Wright,Eurasian watermilfoil,2010,2010,86021700
Granite,Wright,flowering rush,2018,2018,86021700
Grants,Douglas,flowering rush,2019,2019,21015000
Grants,Douglas,zebra mussel,2019,2019,21015000
Grass,Multiple (Stearns and Wright),zebra mussel,2015,connected to Clearwater (86-0252),86024300
Gray's Bay Outlet (wetland),Hennepin,zebra mussel,2010,connected to Minnetonka (27-0133),27076100
Great Northern,Stearns,zebra mussel,2018,connected by the Sauk River between Sauk (77-0150) and Becker (73-0156),73008300
Green,Chisago,Eurasian watermilfoil,1995,1990,13004100
Green,Isanti,Eurasian watermilfoil,2000,2000,30013600
Green,Kandiyohi,Eurasian watermilfoil,2000,2000,34007900
Green,Kandiyohi,zebra mussel,2014,2014,34007900
Green's,Cass,zebra mussel,2010,connected to Gull (11-0305),11078600
Greenwood,Cook,spiny waterflea,2005,2004,16007700
Grill Lake,Douglas,zebra mussel,2014,,21020400
Grovers,Jackson,bighead carp,2012,connected water,32002500
Grovers,Jackson,silver carp,2012,connected water,32002500
Guernsey,Todd,zebra mussel,2016,2017,77018200
Gull,Cass,zebra mussel,2010,2010,11030500
Gull,Cass,zebra mussel,2010,2010,11030500
Gull River,Cass,zebra mussel,2010,2014,
Gunflint,Cook,spiny waterflea,2007,2007,16035600
Hale,Itasca,Eurasian watermilfoil,2014,2014,31037300
Half-Moon,Crow Wing,zebra mussel,2006,connected to Mississippi River,18023800
Ham ,Anoka,Eurasian watermilfoil,2014,2013,2005300
Hand,Cass,zebra mussel,2019,2019,11024200
Hanks,Crow Wing,Eurasian watermilfoil,2019,connected to Crooked (18-0041),18004400
