WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested,Lat,Long
Mississippi River - Twin,Goodhue,Eurasian watermilfoil,2007,-92.64,44.45
Mississippi River - Twin,Goodhue,grass carp,2015,-92.64,44.45
Mississippi River - Twin,Goodhue,silver carp,2012,-92.64,44.45
Mississippi River - Twin,Goodhue,zebra mussel,2007,-92.64,44.45
Mississippi River - West Newton Chute,Wabasha,bighead carp,2012,-92.21,44.28
Mississippi River - West Newton Chute,Wabasha,Eurasian watermilfoil,2007,-92.21,44.28
Mississippi River - West Newton Chute,Wabasha,grass carp,2015,-92.21,44.28
Mississippi River - West Newton Chute,Wabasha,silver carp,2012,-92.21,44.28
Mississippi River - West Newton Chute,Wabasha,zebra mussel,2007,-92.21,44.28
Mitchell,Hennepin,Eurasian watermilfoil,2004,-93.47,45.02
Mitchell,Sherburne,Eurasian watermilfoil,2008,-93.83,45.41
Mitchell,Sherburne,zebra mussel,2020,-93.83,45.41
Molly Stark,Otter Tail,zebra mussel,2018,-95.71,46.41
Moose,Beltrami,starry stonewort,2016,-95.01,47.98
Moose,Wright,zebra mussel,2021,-93.89,45.2
Moses,Douglas,zebra mussel,2020,-95.45,45.93
Mound,Todd,zebra mussel,2018,-94.9,46.07
Mud,Hennepin,Eurasian watermilfoil,2020,-93.47,45.02
Mud,Washington,Eurasian watermilfoil,2007,-92.88,45.02
Mud,Otter Tail,zebra mussel,2020,-95.71,46.41
Mud,St. Louis,zebra mussel,2009,-92.38,47.5
Mud,Wright,zebra mussel,2019,-93.89,45.2
Murphy,Scott,Eurasian watermilfoil,2020,-93.6,44.68
Muskrat,Becker,flowering rush,2007,-95.68,46.94
Muskrat,Becker,zebra mussel,2017,-95.68,46.94
Namakan,St. Louis,spiny waterflea,2007,-92.38,47.5
Nelson,Becker,zebra mussel,2019,-95.68,46.94
Nest,Kandiyohi,zebra mussel,2017,-95.01,45.15
Newton,Lake,spiny waterflea,2014,-91.41,47.57
Niccum?s Pond (located in the NW 1/4 of the SW 1/4 of S10 T117N R24W),Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Nisswa,Crow Wing,zebra mussel,2010,-94.09,46.48
Nokomis,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Nokomis,Hennepin,zebra mussel,2010,-93.47,45.02
Normandale,Hennepin,Eurasian watermilfoil,2019,-93.47,45.02
North Center,Chisago,Eurasian watermilfoil,2008,-92.89,45.51
North Fowl,Cook,spiny waterflea,2010,-90.27,47.73
North Lindstrom,Chisago,Eurasian watermilfoil,2006,-92.89,45.51
North Long,Crow Wing,zebra mussel,2014,-94.09,46.48
North Oscar,Douglas,Eurasian watermilfoil,2013,-95.45,45.93
North Pomme de Terre,Stevens,zebra mussel,2018,-96,45.59
North Star,Itasca,zebra mussel,2017,-93.73,47.46
North Ten Mile,Otter Tail,zebra mussel,2017,-95.71,46.41
North Twin,Itasca,Eurasian watermilfoil,2000,-93.73,47.46
North Twin,Wright,Eurasian watermilfoil,2009,-93.89,45.2
North Twin,Itasca,flowering rush,2007,-93.73,47.46
North Twin,Mahnomen,zebra mussel,2022,-95.81,47.32
North Union ,Douglas,zebra mussel,2011,-95.45,45.93
Norway,Kandiyohi,Eurasian watermilfoil,2002,-95.01,45.15
Norway,Kandiyohi,zebra mussel,2018,-95.01,45.15
O?Dowd,Scott,Eurasian watermilfoil,2002,-93.6,44.68
Oak,Carver,Eurasian watermilfoil,2020,-93.77,44.81
O'Brien,Dakota,Eurasian watermilfoil,2016,-93.03,44.7
Ogechie,Mille Lacs,zebra mussel,2007,-93.62,45.9
Olson,Washington,Eurasian watermilfoil,2009,-92.88,45.02
Onamia,Mille Lacs,zebra mussel,2007,-93.62,45.9
Orchard,Dakota,Eurasian watermilfoil,2017,-93.03,44.7
Orono,Sherburne,Eurasian watermilfoil,2020,-93.83,45.41
Orwell Reservoir,Otter Tail,zebra mussel,2013,-95.71,46.41
Oscar ,Douglas,Eurasian watermilfoil,1995,-95.45,45.93
Oscar,Douglas,zebra mussel,2019,-95.45,45.93
Ossawinnamakee,Crow Wing,Eurasian watermilfoil,2004,-94.09,46.48
Ossawinnamakee,Crow Wing,zebra mussel,2004,-94.09,46.48
Otter,Anoka,Eurasian watermilfoil,1995,-93.27,45.23
Otter ,Stearns,Eurasian watermilfoil,2011,-94.59,45.53
Otter,Stearns,zebra mussel,2015,-94.59,45.53
Otter Tail,Otter Tail,zebra mussel,2016,-95.71,46.41
Otter Tail River (Red River),Otter Tail,zebra mussel,2017,-95.71,46.41
Outlet Creek from Minnewaska to Emily,Pope,zebra mussel,2012,-95.44,45.6
Owasso,Ramsey,Eurasian watermilfoil,2000,-93.11,45.01
Owasso,Ramsey,zebra mussel,2021,-93.11,45.01
Park,Murray,zebra mussel,2022,-95.77,44.02
Parker?s,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Parley,Carver,Eurasian watermilfoil,2001,-93.77,44.81
Paul,Otter Tail,zebra mussel,2013,-95.71,46.41
Pearl,Jackson,bighead carp,2012,-95.16,43.67
Pearl,Jackson,silver carp,2012,-95.16,43.67
Peavey,Hennepin,Eurasian watermilfoil,1999,-93.47,45.02
Peavey,Hennepin,zebra mussel,2012,-93.47,45.02
Pelican,Wright,Eurasian watermilfoil,2010,-93.89,45.2
Pelican,Crow Wing,zebra mussel,2012,-94.09,46.48
Pelican,Otter Tail,zebra mussel,2009,-95.71,46.41
Pelican,Pope,zebra mussel,2019,-95.44,45.6
Pelican Brook from the source at Ossawinnamakee to the Pine River,Crow Wing,zebra mussel,2007,-94.09,46.48
Pelican River from Detroit to Muskrat,Becker,flowering rush,2007,-95.68,46.94
Peltier,Anoka,Eurasian watermilfoil,2000,-93.27,45.23
Pennington Mine,Crow Wing,zebra mussel,2017,-94.09,46.48
Perkins,Stevens,zebra mussel,2018,-96,45.59
Phalen,Ramsey,Eurasian watermilfoil,1997,-93.11,45.01
Pickerel,Becker,flowering rush,2015,-95.68,46.94
Pickerel,Becker,zebra mussel,2014,-95.68,46.94
Pickerel,Crow Wing,zebra mussel,2006,-94.09,46.48
Pierson,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Pierson,Carver,zebra mussel,2020,-93.77,44.81
Pig,Crow Wing,zebra mussel,2014,-94.09,46.48
Pigeon River downstream of South Fowl,Cook,spiny waterflea,2010,-90.27,47.73
Pigeon River from the Pigeon Dam Lake dam to Winnibigoshish,Itasca,faucet snail,2009,-93.73,47.46
Pigeon River from the Pigeon Dam Lake dam to Winnibigoshish,Itasca,zebra mussel,2013,-93.73,47.46
Pike,Scott,Eurasian watermilfoil,2014,-93.6,44.68
Pike,Scott,zebra mussel,2021,-93.6,44.68
Pike,St. Louis,zebra mussel,2009,-92.38,47.5
Pike Bay,Cass,zebra mussel,2014,-94.29,46.88
Pike River from Pike River Dam at CSAH 77 near Peyla to Vermilion  and Vermilion River from Vermilion to Crane,St. Louis,spiny waterflea,2015,-92.38,47.5
Pimushe,Beltrami,starry stonewort,2021,-95.01,47.98
Pimushe,Beltrami,zebra mussel,2019,-95.01,47.98
Pine,Crow Wing,Eurasian watermilfoil,2017,-94.09,46.48
Pine,Cook,spiny waterflea,2005,-90.27,47.73
Pine Mountain,Cass,zebra mussel,2021,-94.29,46.88
Pine River,Crow Wing,Eurasian watermilfoil,2017,-94.09,46.48
Pine River from the base of Cross Lake Dam to the confluence with Pelican Brook,Crow Wing,zebra mussel,2014,-94.09,46.48
Pine River from 500 feet upstream of the mouth of Pelican Brook to the Mississippi River including 500 feet upstream into its tributaries,Crow Wing,zebra mussel,2006,-94.09,46.48
Pine Tree,Washington,Eurasian watermilfoil,2021,-92.88,45.02
Pioneer,Chisago,Eurasian watermilfoil,2022,-92.89,45.51
Pleasant,Ramsey,Eurasian watermilfoil,2010,-93.11,45.01
Pleasant,Wright,Eurasian watermilfoil,2017,-93.89,45.2
Pleasant,Wright,starry stonewort,2018,-93.89,45.2
Pleasant,Ramsey,zebra mussel,2007,-93.11,45.01
Pleasant,Wright,zebra mussel,2020,-93.89,45.2
Pletz Marsh,Jackson,bighead carp,2012,-95.16,43.67
Pletz Marsh,Jackson,silver carp,2012,-95.16,43.67
Plum,Jackson,bighead carp,2012,-95.16,43.67
Plum,Jackson,silver carp,2012,-95.16,43.67
Pocket,Douglas,zebra mussel,2016,-95.45,45.93
Pokegama,Pine,Eurasian watermilfoil,2006,-92.72,46.07
Pokegama,Itasca,zebra mussel,2019,-93.73,47.46
Pomme de Terre,Grant,zebra mussel,2018,-96.01,45.93
Pond Six,Ramsey,Eurasian watermilfoil,2002,-93.11,45.01
Pond Three,Ramsey,Eurasian watermilfoil,2006,-93.11,45.01
Portage,Crow Wing,Eurasian watermilfoil,2019,-94.09,46.48
Portage,Itasca,zebra mussel,2013,-93.73,47.46
Portage (in Lebanon Hills Regional Park),Dakota,Eurasian watermilfoil,2016,-93.03,44.7
Powderhorn,Hennepin,Eurasian watermilfoil,2008,-93.47,45.02
Powers,Washington,Eurasian watermilfoil,1998,-92.88,45.02
Prairie,Otter Tail,zebra mussel,2009,-95.71,46.41
Pug Hole,Beltrami,zebra mussel,2014,-95.01,47.98
Pulaski,Wright,Eurasian watermilfoil,1995,-93.89,45.2
Pulaski,Wright,zebra mussel,2022,-93.89,45.2
Quarry,Dakota,Eurasian watermilfoil,2007,-93.03,44.7
Quarry,Scott,Eurasian watermilfoil,2016,-93.6,44.68
Rabbit (East Portion),Crow Wing,zebra mussel,2022,-94.09,46.48
Rabbit (West Portion),Crow Wing,zebra mussel,2022,-94.09,46.48
Rabbits,Itasca,faucet snail,2009,-93.73,47.46
Rabbits,Itasca,zebra mussel,2013,-93.73,47.46
Rabour,Chisago,Eurasian watermilfoil,2021,-92.89,45.51
Rainy,St. Louis,spiny waterflea,2007,-92.38,47.5
Rainy,St. Louis,zebra mussel,2021,-92.38,47.5
Ramsey,Wright,Eurasian watermilfoil,2004,-93.89,45.2
Rapid River from 500 feet upstream of Highway 11 to Clementson Bay of the Rainy River,Lake of the Woods,spiny waterflea,2007,-94.9,48.88
Raven,Itasca,faucet snail,2009,-93.73,47.46
Raven,Itasca,zebra mussel,2013,-93.73,47.46
Ravens Flowage,Itasca,zebra mussel,2013,-93.73,47.46
Ravens Flowage (includes unnamed creek from S3 T146N R29W to S11 T146N R29W and Raven Creek downstream of Raven and Rabbit lakes to Lake Winnibigoshish),Itasca,faucet snail,2009,-93.73,47.46
Ray's,Le Sueur,Eurasian watermilfoil,2009,-93.78,44.37
Rebecca,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Rebecca,Dakota,zebra mussel,2009,-93.03,44.7
Red (Upper Red),Beltrami,starry stonewort,2016,-95.01,47.98
Red (Upper Red),Beltrami,zebra mussel,2019,-95.01,47.98
Red Rock,Douglas,zebra mussel,2022,-95.45,45.93
Redick Swamp,Douglas,zebra mussel,2017,-95.45,45.93
Reed,Otter Tail,zebra mussel,2018,-95.71,46.41
Reeds,Waseca,Eurasian watermilfoil,2014,-93.59,44.02
Reitz,Carver,Eurasian watermilfoil,2008,-93.77,44.81
Reno,Pope,zebra mussel,2014,-95.44,45.6
Rice,Hennepin,Eurasian watermilfoil,1997,-93.47,45.02
Rice,Stearns,starry stonewort,2016,-94.59,45.53
Rice,Crow Wing,zebra mussel,2006,-94.09,46.48
Rice,Itasca,zebra mussel,2013,-93.73,47.46
Riley,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Riley,Carver,zebra mussel,2018,-93.77,44.81
Ripley,Meeker,Eurasian watermilfoil,2004,-94.51,45.11
Ripley,Meeker,Eurasian watermilfoil,2004,-94.51,45.11
Ripple River between Bay and Tame Fish,Crow Wing,Eurasian watermilfoil,2000,-94.09,46.48
Rock,Wright,Eurasian watermilfoil,1995,-93.89,45.2
Roe Mine,Crow Wing,zebra mussel,2021,-94.09,46.48
Rose,Otter Tail,zebra mussel,2011,-95.71,46.41
Rossier,Stearns,zebra mussel,2014,-94.59,45.53
Round,Jackson,bighead carp,2012,-95.16,43.67
Round,Hennepin,brittleleaf naiad,2010,-93.47,45.02
Round,Douglas,Eurasian watermilfoil,2014,-95.45,45.93
Round,Hennepin,Eurasian watermilfoil,1996,-93.47,45.02
Round,Ramsey,Eurasian watermilfoil,1997,-93.11,45.01
Round,Wright,Eurasian watermilfoil,2009,-93.89,45.2
Round,Jackson,silver carp,2012,-95.16,43.67
Round,Crow Wing,zebra mussel,2010,-94.09,46.48
Round,Grant,zebra mussel,2017,-96.01,45.93
Round,Otter Tail,zebra mussel,2019,-95.71,46.41
Round,Otter Tail,zebra mussel,2018,-95.71,46.41
Roy,Crow Wing,zebra mussel,2010,-94.09,46.48
Royal,Cook,spiny waterflea,2010,-90.27,47.73
Royal River between Little John and North Fowls,Cook,spiny waterflea,2010,-90.27,47.73
Rusch,Otter Tail,zebra mussel,2013,-95.71,46.41
Rush,Jackson,bighead carp,2012,-95.16,43.67
Rush,Jackson,bighead carp,2012,-95.16,43.67
Rush,Chisago,Eurasian watermilfoil,1995,-92.89,45.51
Rush,Chisago,Eurasian watermilfoil,1995,-92.89,45.51
Rush,Sherburne,Eurasian watermilfoil,2014,-93.83,45.41
Rush,Jackson,silver carp,2012,-95.16,43.67
Rush,Jackson,silver carp,2012,-95.16,43.67
Rush,Otter Tail,zebra mussel,2017,-95.71,46.41
Rush-Hen,Crow Wing,zebra mussel,2014,-94.09,46.48
Ruth,Crow Wing,Eurasian watermilfoil,1997,-94.09,46.48
Ruth,Crow Wing,zebra mussel,2015,-94.09,46.48
Sabin (Embarrass Mine),St. Louis,zebra mussel,2022,-92.38,47.5
Saganaga,Cook,spiny waterflea,2004,-90.27,47.73
Sallie,Becker,flowering rush,2007,-95.68,46.94
Sallie,Becker,zebra mussel,2016,-95.68,46.94
Sand,Pine,Eurasian watermilfoil,2004,-92.72,46.07
Sand,Itasca,zebra mussel,2013,-93.73,47.46
Sand Point,St. Louis,spiny waterflea,2007,-92.38,47.5
Sarah,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Sarah,Murray,zebra mussel,2018,-95.77,44.02
Sauk,Todd,flowering rush,2009,-94.9,46.07
Sauk,Todd,zebra mussel,2018,-94.9,46.07
Sauk River,Todd,flowering rush,2007,-94.9,46.07
Saunders,Hennepin,Eurasian watermilfoil,2014,-93.47,45.02
Scalp,Otter Tail,zebra mussel,2021,-95.71,46.41
Scandinavian,Pope,Eurasian watermilfoil,2014,-95.44,45.6
Schmidt,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Schmidt,Wright,Eurasian watermilfoil,2014,-93.89,45.2
Schneider,Stearns,zebra mussel,2018,-94.59,45.53
School Section,Stearns,Eurasian watermilfoil,2018,-94.59,45.53
Schultz,Dakota,Eurasian watermilfoil,2000,-93.03,44.7
Schutz,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Second Crow Wing,Hubbard,faucet snail,2011,-94.92,47.11
Sensky Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,-94.9,48.88
Serpent,Crow Wing,zebra mussel,2017,-94.09,46.48
Shady Oak,Hennepin,brittleleaf naiad,2021,-93.47,45.02
Shady Oak,Hennepin,Eurasian watermilfoil,2019,-93.47,45.02
Shagawa,St. Louis,spiny waterflea,2014,-92.38,47.5
Shakopee,Mille Lacs,zebra mussel,2007,-93.62,45.9
Shallow Pond,Pope,zebra mussel,2012,-95.44,45.6
Shamineau,Morrison,Eurasian watermilfoil,2012,-94.21,46.07
Shetek,Murray,zebra mussel,2022,-95.77,44.02
Shields,Rice,Eurasian watermilfoil,2015,-93.28,44.37
Signalness,Pope,zebra mussel,2016,-95.44,45.6
Silver,Ramsey,Eurasian watermilfoil,1995,-93.11,45.01
Silver,Ramsey,Eurasian watermilfoil,2021,-93.11,45.01
Silver,Wright,Eurasian watermilfoil,2011,-93.89,45.2
Silver Creek  from 500 feet upstream of Highway 11 to the Rainy River,Lake of the Woods,spiny waterflea,2007,-94.9,48.88
Skoglund Slough,Douglas,zebra mussel,2014,-95.45,45.93
Skogman,Isanti,Eurasian watermilfoil,2014,-93.26,45.58
Skunk,Jackson,bighead carp,2012,-95.16,43.67
Skunk,Jackson,silver carp,2012,-95.16,43.67
Smetana,Hennepin,Eurasian watermilfoil,2020,-93.47,45.02
Smith,Crow Wing,zebra mussel,2021,-94.09,46.48
Smith,Douglas,zebra mussel,2022,-95.45,45.93
Snail,Ramsey,Eurasian watermilfoil,2000,-93.11,45.01
Snake River between Pokegama and Cross including 500 feet upstream into its tributaries,Pine,Eurasian watermilfoil,2005,-92.72,46.07
Snelling,Hennepin,Eurasian watermilfoil,2006,-93.47,45.02
Somers,Wright,Eurasian watermilfoil,2014,-93.89,45.2
South Center,Chisago,Eurasian watermilfoil,2009,-92.89,45.51
South Coon,Anoka,Eurasian watermilfoil,2010,-93.27,45.23
South Fowl,Cook,spiny waterflea,2010,-90.27,47.73
South Lindstrom,Chisago,Eurasian watermilfoil,2010,-92.89,45.51
South Long,Crow Wing,faucet snail,2021,-94.09,46.48
South Long,Crow Wing,zebra mussel,2021,-94.09,46.48
South Twin,Itasca,Eurasian watermilfoil,2016,-93.73,47.46
South Twin,Itasca,flowering rush,2007,-93.73,47.46
South Twin,Mahnomen,zebra mussel,2019,-95.81,47.32
Southeast Anderson,Hennepin,Eurasian watermilfoil,2017,-93.47,45.02
Spectacle,Isanti,Eurasian watermilfoil,2007,-93.26,45.58
Spectacle,Isanti,zebra mussel,2019,-93.26,45.58
Spider,Itasca,flowering rush,2014,-93.73,47.46
Spider,Cass,zebra mussel,2010,-94.29,46.88
