,WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested
235,Dutch,Wright,Eurasian watermilfoil,2016
236,Eagle,Carver,Eurasian watermilfoil,2001
237,Eagle,Sherburne,Eurasian watermilfoil,2006
238,Eagle,Becker,zebra mussel,2021
239,Eagle,Kandiyohi,zebra mussel,2018
240,Eagle,Otter Tail,zebra mussel,2019
241,Eagle,Stearns,zebra mussel,2019
242,Eagle (includes North and South Eagle),Blue Earth,Eurasian watermilfoil,2015
243,Eagle (includes Pike),Hennepin,Eurasian watermilfoil,1995
244,Earley,Dakota,Eurasian watermilfoil,2006
245,East Battle,Otter Tail,zebra mussel,2019
246,East Jefferson,Le Sueur,Eurasian watermilfoil,2004
247,East Lake Sylvia,Wright,zebra mussel,2016
248,East Loon,Otter Tail,zebra mussel,2018
249,East Lost,Otter Tail,zebra mussel,2017
250,East Mahnomen,Crow Wing,zebra mussel,2021
251,East Red River,Otter Tail,zebra mussel,2017
252,East Silent,Otter Tail,zebra mussel,2018
253,East Spirit,Otter Tail,zebra mussel,2016
254,East Sylvia (was Twin),Wright,Eurasian watermilfoil,2008
255,East Twin,St. Louis,spiny waterflea,2010
256,Edina,Hennepin,Eurasian watermilfoil,2017
257,Edina Mill Pond,Hennepin,zebra mussel,2010
258,Edward,Crow Wing,zebra mussel,2017
259,Egg,Itasca,faucet snail,2009
260,Egg,Itasca,zebra mussel,2013
261,Elk,Sherburne,Eurasian watermilfoil,2020
262,Elk,Grant,zebra mussel,2017
263,Elkhorn,Kandiyohi,Eurasian watermilfoil,2017
264,Elkhorn,Kandiyohi,zebra mussel,2018
265,Ellen,Chisago,Eurasian watermilfoil,1999
266,Ellingson,Grant,zebra mussel,2022
267,Elmo,Washington,Eurasian watermilfoil,2006
268,Ely,St. Louis,zebra mussel,2021
269,Emily,Crow Wing,Eurasian watermilfoil,2014
