,WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested
1397,Swede's Bay (DOW 40-0092-03),Le Sueur,Eurasian watermilfoil,2015
1398,Swift Ditch from 500 feet upstream of Highway 12 downstream to Lake of the Woods,Roseau,spiny waterflea,2011
1399,Sybil,Otter Tail,zebra mussel,2016
1400,Sylvan,Cass,zebra mussel,2020
1401,Sylvia,Stearns,Eurasian watermilfoil,2011
1402,Sylvia,Stearns,zebra mussel,2015
1403,Tanager,Hennepin,Eurasian watermilfoil,1999
1404,Tanager,Hennepin,zebra mussel,2012
1405,Ten Mile,Cass,zebra mussel,2019
1406,Ten Mile,Otter Tail,zebra mussel,2017
1407,Tetonka,Le Sueur,Eurasian watermilfoil,2016
1408,Tetonka,Le Sueur,flowering rush,2009
1409,Third Crow Wing,Hubbard,faucet snail,2018
1410,Third River downstream of Highway 33,Itasca,faucet snail,2009
1411,Third River downstream of Highway 33,Itasca,zebra mussel,2013
1412,Third River Flowage,Itasca,faucet snail,2009
1413,Third River Flowage,Itasca,zebra mussel,2013
1414,Thole,Scott,Eurasian watermilfoil,2002
1415,Thomas,Dakota,Eurasian watermilfoil,2012
1416,Thompson,Dakota,Eurasian watermilfoil,2021
1417,Threemile Creek between Otter and Clearwater,Stearns,zebra mussel,2015
1418,Thunder,Cass,starry stonewort,2022
1419,Thunder,Cass,zebra mussel,2022
1420,Tilde,Clay,red swamp crayfish,2016
1421,Torgerson,Douglas,zebra mussel,2022
1422,Town Line,Cass,Eurasian watermilfoil,2009
1423,Trout,Itasca,flowering rush,2015
1424,Trout,Cook,spiny waterflea,2013
1425,Trowbridge,Otter Tail,zebra mussel,2021
1426,Turner,Crow Wing,zebra mussel,2022
1427,Turtle,Ramsey,Eurasian watermilfoil,2000
1428,Turtle,Beltrami,starry stonewort,2016
1429,Turtle,Becker,zebra mussel,2021
1430,Turtle,Douglas,zebra mussel,2014
1431,Turtle,Grant,zebra mussel,2017
1432,Turtle River,Beltrami,starry stonewort,2022
1433,Tustin,Le Sueur,Eurasian watermilfoil,2022
1434,Twin,Hennepin,Eurasian watermilfoil,2007
1435,Twin Lakes,Dakota,Eurasian watermilfoil,1997
1436,Union,Polk,Eurasian watermilfoil,2007
1437,Unnamed,Dakota,Eurasian watermilfoil,2016
1438,Unnamed,Hennepin,Eurasian watermilfoil,2019
1439,Unnamed,Becker,zebra mussel,2019
1440,Unnamed,Becker,zebra mussel,2020
1441,Unnamed,Crow Wing,zebra mussel,2006
1442,Unnamed,Douglas,zebra mussel,2014
1443,Unnamed,Douglas,zebra mussel,2014
1444,Unnamed,Douglas,zebra mussel,2022
1445,Unnamed,Douglas,zebra mussel,2022
1446,Unnamed,Douglas,zebra mussel,2022
1447,Unnamed,Multiple (Stearns and Wright),zebra mussel,2015
1448,Unnamed,Otter Tail,zebra mussel,2021
1449,Unnamed,Otter Tail,zebra mussel,2019
1450,Unnamed,Otter Tail,zebra mussel,2019
1451,Unnamed,Otter Tail,zebra mussel,2018
1452,Unnamed,Wright,zebra mussel,2023
1453,Unnamed (Black Tern Pond),Ramsey,Eurasian watermilfoil,2016
1454,Unnamed (Deer),Wright,zebra mussel,2023
1455,Unnamed (Grace),Carver,Eurasian watermilfoil,2016
1456,Unnamed (Hay),Dakota,flowering rush,2018
1457,Unnamed (Lily Pond),Dakota,Eurasian watermilfoil,2016
1458,Unnamed (Mill Pond),Otter Tail,zebra mussel,2012
1459,Unnamed (Nick's Marsh),Otter Tail,zebra mussel,2019
1460,Unnamed (Schwanz),Dakota,Eurasian watermilfoil,2022
1461,Unnamed creek between Anderson?s Marsh and Pearl,Jackson,bighead carp,2012
1462,Unnamed creek between Anderson?s Marsh and Pearl,Jackson,silver carp,2012
1463,Unnamed creek between Crooked Lake and Houghtaling Creek,Lake,zebra mussel,2014
1464,Unnamed creek between Pearl and Loon ,Jackson,bighead carp,2012
1465,Unnamed creek between Pearl and Loon ,Jackson,silver carp,2012
1466,Unnamed creek between Rush and Anderson?s Marsh,Jackson,bighead carp,2012
1467,Unnamed creek between Rush and Anderson?s Marsh,Jackson,silver carp,2012
1468,Unnamed gravel pit (located in S 1/2 of S14 T41N R21W),Pine,Eurasian watermilfoil,2005
1469,Unnamed gravel pit (located in S16 T108 R20W),Steele,Eurasian watermilfoil,2012
1470,Unnamed lake,Jackson,bighead carp,2012
1471,Unnamed lake,Jackson,bighead carp,2012
1472,Unnamed lake,Jackson,bighead carp,2012
1473,Unnamed Lake,Dakota,flowering rush,2007
1474,Unnamed lake,Jackson,silver carp,2012
1475,Unnamed lake,Jackson,silver carp,2012
1476,Unnamed lake,Jackson,silver carp,2012
1477,Unnamed Lake in Springbrook Nature Center,Anoka,Eurasian watermilfoil,1995
1478,Unnamed lake on Little Sioux River,Jackson,bighead carp,2012
1479,Unnamed lake on Little Sioux River,Jackson,bighead carp,2012
1480,Unnamed lake on Little Sioux River,Jackson,silver carp,2012
1481,Unnamed lake on Little Sioux River,Jackson,silver carp,2012
1482,Unnamed pond,Pope,zebra mussel,2012
1483,Unnamed pond (Valley Pond) in Valley Park,Dakota,Eurasian watermilfoil,2006
1484,Unnamed pond and channel in Sec 35 T135 R 29W,Crow Wing,zebra mussel,2010
1485,Unnamed pond in the NW 1/4 of S14 T117 R22,Hennepin,zebra mussel,2010
1486,Unnamed pond located in S14 and S15 T142 R39W,Becker,faucet snail,2012
1487,Unnamed pond located in S15 T142N R39W,Becker,faucet snail,2012
1488,Unnamed pond located in SE ¼ of SW ¼ of S14 T142 R39W,Becker,faucet snail,2013
1489,Unnamed pond located in SW ¼ of SE ¼ of S15 T142 R39W,Becker,faucet snail,2013
1490,Unnamed pond located in the NE ¼ of NW ¼ of S22 T142N R39W,Becker,faucet snail,2012
1491,Unnamed pond located in the NE ¼ of SE ¼ of S15 T142N R39W,Becker,faucet snail,2012
1492,Unnamed pond located in the NW 1/4 of NE ¼ of S22 T142N R39W ,Becker,faucet snail,2012
1493,Unnamed pond located in the SE ¼ of the SW ¼ of S15 T142N R39W,Becker,faucet snail,2012
1494,Unnamed pond located in the SW ¼ of SW ¼ of S14 T142N R39W,Becker,faucet snail,2012
1495,Unnamed river from the outlet of Irene (21-0076) to Miltona (21-0083),Douglas,zebra mussel,2013
1496,Unnamed river from the outlet of Lake Miltona (21-0083) to Ida (21-0123),Douglas,zebra mussel,2013
1497,Unnamed stream connecting Big Rice Little Rice  Kitchi Pug Hole and Cass Lakes,Beltrami,zebra mussel,2014
1498,Unnamed stream connecting Kitchi Pug Hole and Cass Lakes,Cass,zebra mussel,2014
1499,Unnamed wetland,Hennepin,Eurasian watermilfoil,2000
1500,Unnamed wetland,Scott,Eurasian watermilfoil,2009
1501,Unnamed wetland (Heine Pond),Dakota,Eurasian watermilfoil,2010
1502,Unnamed wetland (located  in the NE 1/4 of the NE 1/4 of S33 T135N R27W),Crow Wing,zebra mussel,2006
1503,Unnamed wetland (located  in the NE 1/4 of the SW 1/4 of S3 T135N R27W),Crow Wing,zebra mussel,2006
1504,Unnamed wetland (located in the NE 1/4 of the NE 1/4 of S33 T31N R22W),Anoka,flowering rush,2007
1505,Unnamed wetland (located in the NE 1/4 of the SE 1/4 of S2 T46N R30W),Crow Wing,zebra mussel,2006
1506,Unnamed wetland (located in the NW 1/4 of the NE 1/4 of S33 T46N R30W),Crow Wing,zebra mussel,2006
1507,Unnamed wetland (Purgatory wetland),Hennepin,brittleleaf naiad,2014
1508,Unnamed wetland along Clearwater River,Stearns,Eurasian watermilfoil,1999
1509,Unnamed wetland connected to Paul Lake (56-0335),Otter Tail,zebra mussel,2013
1510,Unnamed wetland in the E 1/2 of S13 T117N R22W,Hennepin,zebra mussel,2010
1511,Unnamed wetland in the NE 1/4 of S20 T117N R21W,Hennepin,zebra mussel,2010
1512,Unnamed wetland in the NW 1/4 of S19 T117N R21W,Hennepin,zebra mussel,2010
1513,Unnamed wetland in the SE 1/4 of S11 and NE 1/4 of S14 T117N R22W,Hennepin,zebra mussel,2010
1514,Unnamed wetland in the SW 1/4 of S20 T117N R21W,Hennepin,zebra mussel,2010
1515,Unnamed wetland located  in the NE 1/4 of the SW 1/4  of S2 T46N R30W),Crow Wing,zebra mussel,2006
1516,Unnamed wetland located in S 16 T124N R39W,Pope,zebra mussel,2012
1517,Unnamed wetland located in S 20 and 21 T124N R39W,Pope,zebra mussel,2012
1518,Unnamed wetland located in S 20 T124N R39W,Pope,zebra mussel,2012
1519,Unnamed wetland located in S 9 and 16 T124N R39W,Pope,zebra mussel,2012
1520,Unnamed wetland located in S2 T143N R43W,Norman,faucet snail,2013
1521,Unnamed wetland NW 1/4 of S18 T117N R21W,Hennepin,zebra mussel,2010
1522,Upper Bottle,Hubbard,faucet snail,2019
1523,Upper Cormorant,Becker,zebra mussel,2019
1524,Upper Gull,Cass,zebra mussel,2010
1525,Upper Hay,Crow Wing,zebra mussel,2014
1526,Upper Maple,Wright,zebra mussel,2019
1527,Upper Mission,Crow Wing,Eurasian watermilfoil,2008
1528,Upper Pine,Pine,Eurasian watermilfoil,2022
1529,Upper Prior,Scott,Eurasian watermilfoil,2000
1530,Upper Prior,Scott,zebra mussel,2009
1531,Upper Sakatah,LeSueur,Eurasian watermilfoil,2020
1532,Upper Sakatah,Le Sueur,flowering rush,2009
1533,Upper South Long,Crow Wing,Eurasian watermilfoil,2019
1534,Upper South Long,Crow Wing,zebra mussel,2021
1535,Upper Twin,Hubbard,faucet snail,2009
1536,Vadnais ,Ramsey,Eurasian watermilfoil,1995
1537,Vadnais,Ramsey,Eurasian watermilfoil,1995
1538,Vadnais,Ramsey,zebra mussel,2007
1539,Vadnais,Ramsey,zebra mussel,2007
1540,Venstrom,Otter Tail,zebra mussel,2014
1541,Vermilion,St. Louis,spiny waterflea,2015
1542,Victoria,Douglas,Eurasian watermilfoil,2017
1543,Victoria,Douglas,zebra mussel,2009
1544,Villard,Pope,zebra mussel,2020
1545,Virginia,Carver,Eurasian watermilfoil,1995
1546,Virginia,Carver,zebra mussel,2014
1547,Wabasso,Ramsey,Eurasian watermilfoil,1995
1548,Wabonica Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007
1549,Waconia,Carver,Eurasian watermilfoil,1995
1550,Waconia,Carver,zebra mussel,2014
1551,Walker,Otter Tail,zebra mussel,2018
1552,Warroad River from 500 feet upstream of Highway 11 downstream to Lake of the Woods,Roseau,spiny waterflea,2007
1553,Washburn,Cass,Eurasian watermilfoil,2009
1554,Washington,Meeker,Eurasian watermilfoil,1999
1555,Washington,Meeker,zebra mussel,2015
1556,Wasserman,Carver,Eurasian watermilfoil,2001
1557,Watab Lake,Stearns,zebra mussel,2014
1558,Watab River from Watab Lake to the Mississippi River,Stearns,zebra mussel,2014
1559,Waverly,Wright,Eurasian watermilfoil,1995
1560,Waverly,Wright,zebra mussel,2021
1561,Weaver,Hennepin,Eurasian watermilfoil,2013
1562,Webster Slough,Murray,zebra mussel,2022
1563,Weigand,Wright,Eurasian watermilfoil,1999
1564,Weigand,Multiple (Stearns and Wright),zebra mussel,2015
1565,Wells,Rice,flowering rush,2007
1566,West Battle,Otter Tail,zebra mussel,2016
1567,West Fork Little Sioux River and its tributaries,Jackson,bighead carp,2012
1568,West Fork Little Sioux River and its tributaries,Jackson,silver carp,2012
1569,West Jefferson (DOW 40-0092-02),Le Sueur,Eurasian watermilfoil,2015
1570,West Lake Sylvia,Wright,starry stonewort,2016
1571,West Lake Sylvia,Wright,zebra mussel,2017
1572,West Lost,Otter Tail,zebra mussel,2017
1573,West McDonald,Otter Tail,zebra mussel,2019
1574,West Silent,Otter Tail,zebra mussel,2021
1575,West Sylvia,Wright,Eurasian watermilfoil,2008
1576,West Twin,St. Louis,spiny waterflea,2010
1577,Whaletail,Hennepin,Eurasian watermilfoil,1997
1578,Whiskey,Douglas,zebra mussel,2017
1579,White Bear,Washington,Eurasian watermilfoil,1995
1580,White Bear,Washington,zebra mussel,2014
1581,White Pine River,St. Louis,zebra mussel,2009
1582,White Sand,Crow Wing,Eurasian watermilfoil,2015
1583,Whitefish ,Crow Wing,zebra mussel,2014
1584,Willmar,Kandiyohi,zebra mussel,2022
1585,Wilmes,Washington,Eurasian watermilfoil,2007
1586,Winnibigoshish,Cass,faucet snail,2009
1587,Winnibigoshish,Cass,faucet snail,2009
1588,Winnibigoshish,Itasca,faucet snail,2009
1589,Winnibigoshish,Itasca and Cass,starry stonewort,2016
1590,Winnibigoshish,Cass,zebra mussel,2013
1591,Winnibigoshish,Cass,zebra mussel,2013
1592,Winnibigoshish,Itasca,zebra mussel,2013
1593,Winona,Winona,Eurasian watermilfoil,2007
1594,Winter Road River from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007
1595,Wirth,Hennepin,Eurasian watermilfoil,1997
1596,Wolf,Meeker,Eurasian watermilfoil,2006
1597,Wolf,Beltrami,starry stonewort,2018
1598,Wolf,Beltrami,zebra mussel,2014
1599,Wolfe,Hennepin,Eurasian watermilfoil,2004
1600,Woman,Cass,zebra mussel,2021
1601,Wright,Otter Tail,zebra mussel,2017
1602,Zumbra,Carver,Eurasian watermilfoil,1995
1603,Zumbro,Olmsted,zebra mussel,2000
1604,Zumbro River downstream of Zumbro including 500 feet upstream into its tributaries,Wabasha,zebra mussel,2000
1605,Zumwalde,Stearns,zebra mussel,2018
